zone,date_time,count
Airport,2014-06-08 04:00:00+00,5
Airport,2014-06-08 05:00:00+00,11
Airport,2014-06-08 06:00:00+00,10
Airport,2014-06-08 07:00:00+00,5
Airport,2014-06-08 08:00:00+00,14
Airport,2014-06-08 09:00:00+00,15
Airport,2014-06-08 10:00:00+00,22
Airport,2014-06-08 11:00:00+00,33
Airport,2014-06-08 12:00:00+00,49
Airport,2014-06-08 13:00:00+00,48
Airport,2014-06-08 14:00:00+00,79
Airport,2014-06-08 15:00:00+00,104
Airport,2014-06-08 16:00:00+00,91
Airport,2014-06-08 17:00:00+00,55
Airport,2014-06-08 18:00:00+00,88
Airport,2014-06-08 19:00:00+00,98
Airport,2014-06-08 20:00:00+00,118
Airport,2014-06-08 21:00:00+00,112
Airport,2014-06-08 22:00:00+00,107
Airport,2014-06-08 23:00:00+00,95
Airport,2014-06-09 00:00:00+00,40
Airport,2014-06-09 01:00:00+00,7
Airport,2014-06-09 02:00:00+00,2
Airport,2014-06-09 03:00:00+00,3
Airport,2014-06-09 04:00:00+00,22
Airport,2014-06-09 05:00:00+00,32
Airport,2014-06-09 06:00:00+00,40
Airport,2014-06-09 07:00:00+00,65
Airport,2014-06-09 08:00:00+00,54
Airport,2014-06-09 09:00:00+00,86
Airport,2014-06-09 10:00:00+00,62
Airport,2014-06-09 11:00:00+00,60
Airport,2014-06-09 12:00:00+00,34
Airport,2014-06-09 13:00:00+00,52
Airport,2014-06-09 14:00:00+00,81
Airport,2014-06-09 15:00:00+00,60
Airport,2014-06-09 16:00:00+00,91
Airport,2014-06-09 17:00:00+00,51
Airport,2014-06-09 18:00:00+00,85
Airport,2014-06-09 19:00:00+00,67
Airport,2014-06-09 20:00:00+00,56
Airport,2014-06-09 21:00:00+00,66
Airport,2014-06-09 22:00:00+00,106
Airport,2014-06-09 23:00:00+00,52
Airport,2014-06-10 00:00:00+00,5
Airport,2014-06-10 04:00:00+00,12
Airport,2014-06-10 05:00:00+00,22
Airport,2014-06-10 06:00:00+00,25
Airport,2014-06-10 07:00:00+00,21
Airport,2014-06-10 08:00:00+00,37
Airport,2014-06-10 09:00:00+00,47
Airport,2014-06-10 10:00:00+00,22
Airport,2014-06-10 11:00:00+00,34
Airport,2014-06-10 12:00:00+00,33
Airport,2014-06-10 13:00:00+00,33
Airport,2014-06-10 14:00:00+00,71
Airport,2014-06-10 15:00:00+00,57
Airport,2014-06-10 16:00:00+00,62
Airport,2014-06-10 17:00:00+00,45
Airport,2014-06-10 18:00:00+00,58
Airport,2014-06-10 19:00:00+00,55
Airport,2014-06-10 20:00:00+00,69
Airport,2014-06-10 21:00:00+00,122
Airport,2014-06-10 22:00:00+00,34
Airport,2014-06-10 23:00:00+00,39
Airport,2014-06-11 00:00:00+00,5
Airport,2014-06-11 03:00:00+00,2
Airport,2014-06-11 04:00:00+00,5
Airport,2014-06-11 05:00:00+00,13
Airport,2014-06-11 06:00:00+00,21
Airport,2014-06-11 07:00:00+00,47
Airport,2014-06-11 08:00:00+00,36
Airport,2014-06-11 09:00:00+00,40
Airport,2014-06-11 10:00:00+00,40
Airport,2014-06-11 11:00:00+00,30
Airport,2014-06-11 12:00:00+00,41
Airport,2014-06-11 13:00:00+00,57
Airport,2014-06-11 14:00:00+00,83
Airport,2014-06-11 15:00:00+00,43
Airport,2014-06-11 16:00:00+00,51
Airport,2014-06-11 17:00:00+00,61
Airport,2014-06-11 18:00:00+00,43
Airport,2014-06-11 19:00:00+00,71
Airport,2014-06-11 20:00:00+00,49
Airport,2014-06-11 21:00:00+00,56
Airport,2014-06-11 22:00:00+00,83
Airport,2014-06-11 23:00:00+00,79
Airport,2014-06-12 00:00:00+00,20
Airport,2014-06-12 01:00:00+00,2
Airport,2014-06-12 02:00:00+00,2
Airport,2014-06-12 04:00:00+00,6
Airport,2014-06-12 05:00:00+00,24
Airport,2014-06-12 06:00:00+00,32
Airport,2014-06-12 07:00:00+00,31
Airport,2014-06-12 08:00:00+00,25
Airport,2014-06-12 09:00:00+00,44
Airport,2014-06-12 10:00:00+00,34
Airport,2014-06-12 11:00:00+00,23
Airport,2014-06-12 12:00:00+00,42
Airport,2014-06-12 13:00:00+00,48
Airport,2014-06-12 14:00:00+00,85
Airport,2014-06-12 15:00:00+00,77
Airport,2014-06-12 16:00:00+00,79
Airport,2014-06-12 17:00:00+00,66
Airport,2014-06-12 18:00:00+00,91
Airport,2014-06-12 19:00:00+00,97
Airport,2014-06-12 20:00:00+00,112
Airport,2014-06-12 21:00:00+00,86
Airport,2014-06-12 22:00:00+00,93
Airport,2014-06-12 23:00:00+00,93
Airport,2014-06-13 00:00:00+00,14
Airport,2014-06-13 01:00:00+00,2
Airport,2014-06-13 04:00:00+00,9
Airport,2014-06-13 05:00:00+00,36
Airport,2014-06-13 06:00:00+00,36
Airport,2014-06-13 07:00:00+00,20
Airport,2014-06-13 08:00:00+00,11
Airport,2014-06-13 09:00:00+00,29
Airport,2014-06-13 10:00:00+00,28
Airport,2014-06-13 11:00:00+00,35
Airport,2014-06-13 12:00:00+00,32
Airport,2014-06-13 13:00:00+00,31
Airport,2014-06-13 14:00:00+00,59
Airport,2014-06-13 15:00:00+00,47
Airport,2014-06-13 16:00:00+00,29
Airport,2014-06-13 17:00:00+00,69
Airport,2014-06-13 18:00:00+00,56
Airport,2014-06-13 19:00:00+00,75
Airport,2014-06-13 20:00:00+00,99
Airport,2014-06-13 21:00:00+00,141
Airport,2014-06-13 22:00:00+00,95
Airport,2014-06-13 23:00:00+00,87
Airport,2014-06-14 00:00:00+00,59
Airport,2014-06-14 01:00:00+00,9
Airport,2014-06-14 02:00:00+00,2
Airport,2014-06-14 03:00:00+00,5
Airport,2014-06-14 04:00:00+00,6
Airport,2014-06-14 05:00:00+00,9
Airport,2014-06-14 06:00:00+00,26
Airport,2014-06-14 07:00:00+00,17
Airport,2014-06-14 08:00:00+00,12
Airport,2014-06-14 09:00:00+00,18
Airport,2014-06-14 10:00:00+00,16
Airport,2014-06-14 11:00:00+00,11
Airport,2014-06-14 12:00:00+00,29
Airport,2014-06-14 13:00:00+00,22
Airport,2014-06-14 14:00:00+00,39
Airport,2014-06-14 15:00:00+00,32
Airport,2014-06-14 16:00:00+00,25
Airport,2014-06-14 17:00:00+00,31
Airport,2014-06-14 18:00:00+00,21
Airport,2014-06-14 19:00:00+00,29
Airport,2014-06-14 20:00:00+00,32
Airport,2014-06-14 21:00:00+00,23
Airport,2014-06-14 22:00:00+00,34
Airport,2014-06-14 23:00:00+00,17
Airport,2014-06-15 00:00:00+00,7
Airport,2014-06-15 01:00:00+00,2
Airport,2014-06-15 04:00:00+00,6
Airport,2014-06-15 05:00:00+00,7
Airport,2014-06-15 06:00:00+00,7
Airport,2014-06-15 07:00:00+00,12
Airport,2014-06-15 08:00:00+00,15
Airport,2014-06-15 09:00:00+00,8
Airport,2014-06-15 10:00:00+00,20
Airport,2014-06-15 11:00:00+00,19
Airport,2014-06-15 12:00:00+00,48
